"id","countryCode","country","nama_gdp_c","yth_demo_010","sts_coprgr_a","env_wasgen","rd_e_gerdtot","rd_p_perslf","inn_cis6_type","htec_trd_tot4","pat_ep_ntec","tec00114","tec00021","tec00023","tsdde410","tec00118","tps00010","tsdde220","tps00017","tps00001","tps00157","tps00046","tps00180","tsdec460","tin00096","tin00011","tin00089","tin00099","tin00060","tin00183","tag00031","tag00035","tag00016","tag00017","tag00074","tsdpc340","tsdtr420","ttr00012","ten00110","ten00052","ten00064","t2020_31","tsdcc330","ten00117","tsc00009","t2020_10",
0,"at","AUS","17500","1219363","-1.9","52045","863.4","2.61","1","11.7","18.87","129","18.3","18.2","74.5","2.1","5.0","1.44","30.2","8507786","997038","764.7174","0.7","9.2","66","61","99","13","83","981070","4590.1","53.3","1958.28","357.44","4836.77∂","528","531","25749724","1146025","0.31","5.66","34","65.5","0.0871","1800.77","77",
1,"be","BEL","25700","1898072","-4.5","1897","612.6","2.09","1","8.6","48.83","119","22.5","22.4","101.5","1.2","5.3","1.79","30.0","11203992","1253902","634.8626","-0.2","23.7","57","48","98","30","108","372867","3155.9","249.8","2441.32","146.43","2031.54","22240","487","858","228130","26387222","593994","0.29","4.76","13","11.1","0.0914","1475.01","73.2",
2,"bg","BUL","8500","989989","-8.7","3560","64.9","0.7","1","9.0","0.5","47","15.0","15.1","18.9","0.4","4.3","1.50","27.1","7245677","45201","644.9223","-0.4","28.4","22","88","100","0","139","302433","8950","119.1","585.55","1369.58","321.46","15093","385","901","28841","7078294","0","0.61","10.11","16","17.0","0.0803","18.54","76",
3,"cy","C","9600","141794","-36.0","0","91.3","0.7","1","6.2","0.33","86","9.5","10.0","111.7","0.4","2.9","1.39","30.6","858000","170076","351.1654","-5.2","38.9","37","83","99","7","133","86645","60.9","13.5","57.08","313.46","0.00","5629","549","51","6236","7011437","46397","0.36","7.63","13","4.9","0.2002","6.78","75",
4,"de","GER","14200","10736998","2.2","2103352","866.7","2.1","1","13.5","258.72","124","19.7","19.5","78.4","1.6","5.4","1.38","30.6","80780000","7696413","822.2398","0.6","7.9","80","46","97","21","132","3464600","47757.2","69.3","12685.99","1573.97","22393.00","231919","530","4009","297281","180781589","0","0.5","5.56","18","23.6","0.0860","22666.35","77",
5,"dk","DEN","15800","977596","-14.1","604","807","3.16","1","13.2","7","125","3.0","3.0","44.5","0.5","4.2","1.73","30.7","5627235","374569","349.7857","0.2","13.0","81","17","94","62","124","417594","9117","12.5","1583","90","422.70","536220","468","167","87827","27453282","274688","8.05","30","38.7","0.0898","1229.57","80",
6,"el","GRE","6300","1622022","-2.2","1551","122.4","1.72","7.0","0.5","75","22.8","20.2","175.1","-0.9","5.7","1.34","30.7","10992589","862381","484.8459","-4.1","58.3","40","88","98","1","180","1118685","4319.7","979.6","679","9520","507.90","169577","348","1141","153124","31575703","0","8.45","18","16.5","0.1040","52.48","70",
7,"es","ESP","7800","7089998","-5.8","786780","283.4","1.95","1","7.7","2.75","95","14.6","15.8","93.9","1.5","5.5","1.32","31.6","46507760","5072680","308.8971","-3.0","55.5","43","75","99","9","111","3437362","24297.2","3776.8","5696.91","16118.59","6176.80","1024420","476","2060","422152","157731973","373386","0.23","4.82","20","33.5","0.1165","1550.62","74",
8,"eu28","EU","10800","79157686","-3.6","4840000","464","1.83","15.6","667.85","100","16.3","16.4","87.1","1.5","5.1","1.58","30.1","507416607","14713.5485","-0.3","23.5","61","57","97","19","29831133","87645.12","98898.9","95148.95","6141891","3732638","6500000","0.39","6.05","20","23.5","0.0940","54684.77","75",
9,"fi","FIN","11600","891392","-1.0","54744","939.8","3.27","1","9.9","9.75","112","22.2","20.0","57.0","2.2","5.0","1.80","30.4","5451270","194250","552.1437","-1.3","19.9","71","27","99","55","145","254112","4148.2","38.3","903.36","94.15","11755.16","150731","560","255","105120","16565391","0","0.43","6.96","38","29.5","0.0679","1456.25","78",
10,"hu","HUN","15200","1430865","8.8","2587","184.5","1.45","1","17.6","2.5","67","17.1","16.7","79.2","1.7","4.1","1.34","29.4","9879000","141122","718.7221","0.4","27.2","38","75","99","5","118","382819","13611.3","138.1","772","1238","710.75","301","605","8459015","3949","0.71","6.5","14.65","6.1","0.0904","196.8","75",
11,"ie","IRE","27500","1004258","4.7","0","520.6","1.97","1","19.3","2","126","5.2","5.2","123.7","0.5","2.9","2.01","31.5","4604029","543636","294.7130","2.4","26.8","57","60","81","15","119","215289","2345.8","4.7","6309.05","3321.3","60.00","312059","425","212","47649","24603292","7505","8.68","16","19.6","0.1331","300.24","69",
