themaId,themaName,themaImg,themaGradiantMinColor,themaGradiantMaxColor,themaColor
0,"Wirtschaft & Finanzen","thema1.png","#DBB1C8","#A0347B","#B76692",
1,"Bevölkerung & soziale Bedingungen","thema2.png","#FBCD8B","#EE5D31","#F3A128"
2,"Industrie, Handel & Dienstleistungen","thema3.png","#9AD6EF","#1377BC","#199BD7"
3,"Landwirtschaft, Forstwirtschaft & Fischerei","thema4.png","#AAD292","#5A8240","#6CB145"
4,"Internationaler Handel","international.png","#D65D7C","#A4003A","#BC002F"
5,"Verkehr","thema5.png","#D1D484","#7B8629","#B9C033"
6,"Umwelt & Energie","thema6.png","#83B6B7","#12827D","#1A9E9D"
7,"Wissenschaft & Technologie","thema7.png","#F8B078","#EB462F","#F38231"
